,index,size,option,root,dtx,expiry_date,strike,pc,price,theo,side,exch,date,date_time,volume,cond,ivol,ivol_chg,delta,spot,spot_chg,vega_dollar,cond_extra,hilo,events,bid,ask,open_int,bid_exch,bid_size,ask_size,ask_exch
70,560,2666,MTB221021C00190000,MTB,17,2022-10-21,190.0,C,4.5,4.76484,-3,[CBOE],2022-10-04,2022-10-04 13:41:18.275000-04:00,339,FLR,0.358974,-0.004917,0.437423,186.755,5.735,42510.0,OPENING,,,4.6,4.9,287,ARCA,1.0,51.0,PHLX
71,585,500,IGE221021C00039000,IGE,17,2022-10-21,39.0,C,0.7,0.676363,2,[MULTI],2022-10-04,2022-10-04 14:52:56.607000-04:00,501,,0.367988,-0.026271,0.359661,37.925,1.375,1528.0,OPENING,,,0.6,0.7,1,ARCA,129.0,25.0,CBOE
72,589,2000,KURA221216C00020000,KURA,73,2022-12-16,20.0,C,1.2,1.84821,1,PHLX,2022-10-04,2022-10-04 15:10:48.585000-04:00,2000,FLR,1.21645,-0.147151,0.328845,13.47,0.4,4342.0,OPENING,,,0.0,1.85,0,MPRL,0.0,104.0,PHLX
73,598,951,HMY221118C00003000,HMY,45,2022-11-18,3.0,C,0.2,0.201695,2,[MULTI],2022-10-04,2022-10-04 15:44:00.225000-04:00,1220,,0.654029,-0.104002,0.458655,2.865,0.285,377.0,OPENING,,,0.15,0.2,346,PHLX,1224.0,96.0,ARCA
74,607,1000,TSLQ221021C00050000,TSLQ,17,2022-10-21,50.0,C,1.25,1.22615,2,[MULTI],2022-10-04,2022-10-04 15:58:58.680000-04:00,1069,ISO,0.802009,-0.002885,0.284521,44.865,-1.225,3274.0,OPENING,,,1.15,1.25,137,CBOE,2.0,28.0,MPRL
75,614,2999,CAR221118P00150000,CAR,44,2022-11-18,150.0,P,11.4,10.9426,2,BXO,2022-10-05,2022-10-05 10:04:11.452000-04:00,3006,ISO/AUCT,0.870248,0.018051,-0.298658,167.77,-0.13,60812.0,OPENING,,,10.7,11.4,293,BZX,54.0,48.0,BZX
76,621,2790,GFS221118P00040000,GFS,44,2022-11-18,40.0,P,1.02,1.0514,-1,[BOX],2022-10-05,2022-10-05 10:25:43.050000-04:00,2790,FLR,0.703451,0.007613,-0.148353,50.215,-1.855,11299.0,OPENING,,,0.9,1.2,2757,PHLX,61.0,139.0,PHLX
77,624,10000,MBB221118C00092000,MBB,44,2022-11-18,92.0,C,1.47,1.54529,-1,[AMEX],2022-10-05,2022-10-05 10:43:11.175000-04:00,10002,FLR,0.117232,-0.017754,0.497772,91.8,-0.86,127204.0,OPENING,,,1.4,1.65,7,CBOE,346.0,40.0,CBOE
78,649,1027,VEA221216C00041000,VEA,72,2022-12-16,41.0,C,0.480039,0.519871,-1,[BOX],2022-10-05,2022-10-05 11:57:27.174000-04:00,1078,FLR,0.216227,0.000412,0.244501,37.955,-0.695,5489.0,OPENING,,,0.45,0.6,224,CBOE,1121.0,433.0,PHLX
79,655,9500,LAD221118C00220000,LAD,44,2022-11-18,220.0,C,12.2,12.3551,-1,PHLX,2022-10-05,2022-10-05 12:09:49.574000-04:00,9502,SPRD/CROSS/TIED,0.497356,-0.006926,0.474377,213.685,-8.745,280720.0,OPENING,,,12.0,12.8,12,ISE,1.0,1.0,ISE
80,656,10500,LAD221118P00200000,LAD,44,2022-11-18,200.0,P,9.3,9.32735,-1,PHLX,2022-10-05,2022-10-05 12:09:50.463000-04:00,10500,SPRD/CROSS/TIED,0.535277,-0.008335,-0.323988,213.685,-8.745,280393.0,OPENING,,,8.9,9.8,17,BZX,1.0,2.0,ISE
81,657,820,LILAK221118C00007500,LILAK,44,2022-11-18,7.5,C,0.399268,0.34921,1,[MULTI],2022-10-05,2022-10-05 12:10:35.550000-04:00,820,,0.733454,0.116025,0.386909,6.675,0.005,731.0,OPENING,,,0.35,0.4,2,C2,95.0,226.0,PHLX
82,671,17750,TDOC221118P00020000,TDOC,44,2022-11-18,20.0,P,1.0,1.02273,-2,PHLX,2022-10-05,2022-10-05 13:16:13.394000-04:00,17753,SPRD/FLR,1.05906,-0.012207,-0.161264,26.835,-1.165,40559.0,OPENING,,,1.0,1.04,89,PHLX,73.0,68.0,MPRL
83,673,799,IGAC221021C00010000,IGAC,16,2022-10-21,10.0,C,0.05,0.050001,2,[MULTI],2022-10-05,2022-10-05 13:44:59.911000-04:00,893,ISO,0.040628,-0.582671,0.630079,10.015,0.01,641.0,OPENING,,,0.0,0.05,570,EDGX,0.0,6.0,BZX
84,674,1000,WING221021C00155000,WING,16,2022-10-21,155.0,C,2.04597,1.31927,1,[MULTI],2022-10-05,2022-10-05 13:47:13.201000-04:00,1121,ISO,0.70853,0.143169,0.198793,134.9,6.14,7907.0,OPENING,,,0.6,2.05,204,PHLX,163.0,146.0,PHLX
85,675,20000,JETS221118P00015000,JETS,44,2022-11-18,15.0,P,0.48,0.477099,2,PHLX,2022-10-05,2022-10-05 13:49:19.788000-04:00,21768,FLR,0.449104,-0.000681,-0.283142,16.155,-0.165,38094.0,OPENING,,,0.47,0.48,192,ARCA,9.0,169.0,AMEX
86,681,607,IGAC221021C00010000,IGAC,16,2022-10-21,10.0,C,0.05,0.050001,2,[MULTI],2022-10-05,2022-10-05 14:03:05.241000-04:00,1500,ISO,0.040653,-0.582646,0.630001,10.015,0.01,487.0,OPENING,,,0.0,0.05,570,EDGX,0.0,3.0,CBOE
87,682,1079,TDG221021P00500000,TDG,16,2022-10-21,500.0,P,3.8,5.14944,-1,PHLX,2022-10-05,2022-10-05 14:14:18.818000-04:00,1079,FLR,0.458531,-0.028861,-0.136894,552.375,-11.145,27616.0,OPENING,,,3.2,7.4,20,PHLX,18.0,38.0,BZX
